local_gov,type,county,fy_year,fy_total
Chester,Twp,Logan,2011,54736.53
Chester,Twp,Logan,2012,54418.159999999996
Chester,Twp,Logan,2013,53031.310000000005
Chester,Twp,Logan,2014,54437.97
Chester,Twp,Logan,2015,51539.57
Chester,Twp,Logan,2016,56239.54
Chester,Twp,Logan,2017,57027.06
Chester,Twp,Logan,2018,57093.4
Chester,Twp,Logan,2019,56406.21
Chester,Twp,Logan,2020,83881.34
Chester,Twp,Logan,2021,83569.56
Chester,Muni,Randolph,2005,242141.74000000002
Chester,Muni,Randolph,2006,242650.68
Chester,Muni,Randolph,2007,242554.06
Chester,Muni,Randolph,2008,232727.72
Chester,Muni,Randolph,2009,215221.23
Chester,Muni,Randolph,2010,210631.22
Chester,Muni,Randolph,2011,210495.26
Chester,Muni,Randolph,2012,212616.01
Chester,Muni,Randolph,2013,207065.43
Chester,Muni,Randolph,2014,214087.59
Chester,Muni,Randolph,2015,202400.3
Chester,Muni,Randolph,2016,220345.34999999998
Chester,Muni,Randolph,2017,220176.73
Chester,Muni,Randolph,2018,219709.1
Chester,Muni,Randolph,2019,216567.59
Chester,Muni,Randolph,2020,324450.52
Chester,Muni,Randolph,2021,323381.86
Chesterfield,Twp,Macoupin,2005,39570.99
Chesterfield,Twp,Macoupin,2006,39914.8
Chesterfield,Twp,Macoupin,2007,40310.350000000006
Chesterfield,Twp,Macoupin,2008,39023.229999999996
Chesterfield,Twp,Macoupin,2009,36402.96
Chesterfield,Twp,Macoupin,2010,35798.47
Chesterfield,Twp,Macoupin,2011,35223.68
Chesterfield,Twp,Macoupin,2012,34184.07
Chesterfield,Twp,Macoupin,2013,33311.880000000005
Chesterfield,Twp,Macoupin,2014,34469.219999999994
Chesterfield,Twp,Macoupin,2015,32876
Chesterfield,Twp,Macoupin,2016,38019.97
Chesterfield,Twp,Macoupin,2017,35727.57
Chesterfield,Twp,Macoupin,2018,35962.689999999995
Chesterfield,Twp,Macoupin,2019,35509.310000000005
Chesterfield,Twp,Macoupin,2020,53202.67
Chesterfield,Twp,Macoupin,2021,53004.93
Chesterfield,Muni,Macoupin,2005,6445.1500000000005
Chesterfield,Muni,Macoupin,2006,6458.72
Chesterfield,Muni,Macoupin,2007,6456.14
Chesterfield,Muni,Macoupin,2008,6194.58
Chesterfield,Muni,Macoupin,2009,5728.610000000001
Chesterfield,Muni,Macoupin,2010,5606.45
Chesterfield,Muni,Macoupin,2011,5602.83
Chesterfield,Muni,Macoupin,2012,4655.46
Chesterfield,Muni,Macoupin,2013,4533.92
Chesterfield,Muni,Macoupin,2014,4687.6900000000005
Chesterfield,Muni,Macoupin,2015,4431.78
Chesterfield,Muni,Macoupin,2016,4824.71
Chesterfield,Muni,Macoupin,2017,4821.01
Chesterfield,Muni,Macoupin,2018,4810.7699999999995
Chesterfield,Muni,Macoupin,2019,4741.99
Chesterfield,Muni,Macoupin,2020,7104.21
Chesterfield,Muni,Macoupin,2021,7080.83
Chestnut,Twp,Knox,2005,47234.49
Chestnut,Twp,Knox,2006,47644.880000000005
Chestnut,Twp,Knox,2007,48078.850000000006
Chestnut,Twp,Knox,2008,46468.259999999995
Chestnut,Twp,Knox,2009,43348.119999999995
Chestnut,Twp,Knox,2010,42628.28999999999
Chestnut,Twp,Knox,2011,42634.43
Chestnut,Twp,Knox,2012,41376.14
Chestnut,Twp,Knox,2013,40319.850000000006
Chestnut,Twp,Knox,2014,41712.91
Chestnut,Twp,Knox,2015,39483.52
Chestnut,Twp,Knox,2016,43083.92
Chestnut,Twp,Knox,2017,42991.5
Chestnut,Twp,Knox,2018,43044.91
Chestnut,Twp,Knox,2019,42504.99
Chestnut,Twp,Knox,2020,63684.14
Chestnut,Twp,Knox,2021,63447.41
Chicago,Muni,Cook,2005,83700925.11999999
Chicago,Muni,Cook,2006,83876844.85
Chicago,Muni,Cook,2007,83843455.43
Chicago,Muni,Cook,2008,80446791.11999999
Chicago,Muni,Cook,2009,74395331.09
Chicago,Muni,Cook,2010,72808710.64999999
Chicago,Muni,Cook,2011,72761719.66
Chicago,Muni,Cook,2012,66751371.690000005
Chicago,Muni,Cook,2013,65008753.91
Chicago,Muni,Cook,2014,67213375.5
Chicago,Muni,Cook,2015,63544120.74
Chicago,Muni,Cook,2016,69178018.22
Chicago,Muni,Cook,2017,69125085.98
Chicago,Muni,Cook,2018,68978263.49000001
Chicago,Muni,Cook,2019,67991986.6
Chicago,Muni,Cook,2020,101862120.88
Chicago,Muni,Cook,2021,101526616.24000001
Chicago Heights,Muni,Cook,2005,947294.98
Chicago Heights,Muni,Cook,2006,949286.01
Chicago Heights,Muni,Cook,2007,948908.11
Chicago Heights,Muni,Cook,2008,910466
Chicago Heights,Muni,Cook,2009,841977.88
Chicago Heights,Muni,Cook,2010,824021.1
Chicago Heights,Muni,Cook,2011,823489.3
Chicago Heights,Muni,Cook,2012,749727.71
Chicago Heights,Muni,Cook,2013,730155.24
Chicago Heights,Muni,Cook,2014,754916.76
Chicago Heights,Muni,Cook,2015,713705.03
Chicago Heights,Muni,Cook,2016,776982.9400000001
Chicago Heights,Muni,Cook,2017,776388.42
Chicago Heights,Muni,Cook,2018,774739.37
Chicago Heights,Muni,Cook,2019,763661.8500000001
Chicago Heights,Muni,Cook,2020,1144079.1800000002
Chicago Heights,Muni,Cook,2021,1140310.94
Chicago Ridge,Muni,Cook,2005,408299.87
Chicago Ridge,Muni,Cook,2006,409158.01
Chicago Ridge,Muni,Cook,2007,408995.16
Chicago Ridge,Muni,Cook,2008,392425.94
Chicago Ridge,Muni,Cook,2009,362906.4
Chicago Ridge,Muni,Cook,2010,355166.76
Chicago Ridge,Muni,Cook,2011,354937.55
Chicago Ridge,Muni,Cook,2012,354236.18
Chicago Ridge,Muni,Cook,2013,344988.46
Chicago Ridge,Muni,Cook,2014,356687.94
Chicago Ridge,Muni,Cook,2015,337215.96
Chicago Ridge,Muni,Cook,2016,367113.9
Chicago Ridge,Muni,Cook,2017,366833.01
Chicago Ridge,Muni,Cook,2018,366053.87
Chicago Ridge,Muni,Cook,2019,360819.89
Chicago Ridge,Muni,Cook,2020,540561.92
Chicago Ridge,Muni,Cook,2021,538781.4600000001
Chili,Twp,Hancock,2005,76207.65000000001
Chili,Twp,Hancock,2006,76869.73
Chili,Twp,Hancock,2007,77631.51
Chili,Twp,Hancock,2008,75152.7
Chili,Twp,Hancock,2009,70106.53
Chili,Twp,Hancock,2010,68922.84
Chili,Twp,Hancock,2011,68926.56
Chili,Twp,Hancock,2012,66895.93999999999
Chili,Twp,Hancock,2013,65201.05
Chili,Twp,Hancock,2014,67453.84
Chili,Twp,Hancock,2015,63848.7
Chili,Twp,Hancock,2016,69682.86
Chili,Twp,Hancock,2017,71173.51
Chili,Twp,Hancock,2018,71774.07
Chili,Twp,Hancock,2019,70929.51
Chili,Twp,Hancock,2020,106271.86
Chili,Twp,Hancock,2021,105876.83
Chillicothe,Twp,Peoria,2005,38873.01
Chillicothe,Twp,Peoria,2006,39210.759999999995
Chillicothe,Twp,Peoria,2007,39599.310000000005
Chillicothe,Twp,Peoria,2008,38979.92
Chillicothe,Twp,Peoria,2009,36674.65
Chillicothe,Twp,Peoria,2010,36069.09
Chillicothe,Twp,Peoria,2011,36074.310000000005
Chillicothe,Twp,Peoria,2012,35005.759999999995
Chillicothe,Twp,Peoria,2013,34103.49
Chillicothe,Twp,Peoria,2014,35277.59
Chillicothe,Twp,Peoria,2015,33873.09
Chillicothe,Twp,Peoria,2016,38518.78
Chillicothe,Twp,Peoria,2017,38435.159999999996
Chillicothe,Twp,Peoria,2018,38482.71
Chillicothe,Twp,Peoria,2019,38000.01
Chillicothe,Twp,Peoria,2020,56934.44
Chillicothe,Twp,Peoria,2021,56722.83
Chillicothe,Muni,Peoria,2005,173296.94999999998
Chillicothe,Muni,Peoria,2006,173661.19
Chillicothe,Muni,Peoria,2007,173592.06
Chillicothe,Muni,Peoria,2008,166559.51
Chillicothe,Muni,Peoria,2009,154030.37999999998
Chillicothe,Muni,Peoria,2010,150745.37999999998
Chillicothe,Muni,Peoria,2011,150648.1
Chillicothe,Muni,Peoria,2012,150980.64
Chillicothe,Muni,Peoria,2013,147039.12
Chillicothe,Muni,Peoria,2014,152025.62
Chillicothe,Muni,Peoria,2015,143726.36
Chillicothe,Muni,Peoria,2016,156469.31
Chillicothe,Muni,Peoria,2017,156349.6
Chillicothe,Muni,Peoria,2018,156017.49
Chillicothe,Muni,Peoria,2019,153786.7
Chillicothe,Muni,Peoria,2020,230395.37999999998
Chillicothe,Muni,Peoria,2021,229636.53
Chouteau,Twp,Madison,2005,32657.74
Chouteau,Twp,Madison,2006,31291.780000000002
Chouteau,Twp,Madison,2007,29087.62
Chouteau,Twp,Madison,2008,28150.649999999998
Chouteau,Twp,Madison,2009,26260.43
Chouteau,Twp,Madison,2010,25692.2
Chouteau,Twp,Madison,2011,24874.39
Chouteau,Twp,Madison,2012,24133.99
Chouteau,Twp,Madison,2013,23517.649999999998
Chouteau,Twp,Madison,2014,24287.73
Chouteau,Twp,Madison,2015,23029.47
Chouteau,Twp,Madison,2016,25129.32
Chouteau,Twp,Madison,2017,25075.35
Chouteau,Twp,Madison,2018,25106.280000000002
Chouteau,Twp,Madison,2019,24791.47
Chouteau,Twp,Madison,2020,37144.39
Chouteau,Twp,Madison,2021,37006.350000000006
Chrisman,Muni,Edgar,2005,38092.98
Chrisman,Muni,Edgar,2006,38173.01
Chrisman,Muni,Edgar,2007,38157.82
Chrisman,Muni,Edgar,2008,36611.96
Chrisman,Muni,Edgar,2009,33857.91
Chrisman,Muni,Edgar,2010,33135.82
Chrisman,Muni,Edgar,2011,33114.43
Chrisman,Muni,Edgar,2012,33256.87
Chrisman,Muni,Edgar,2013,32388.629999999997
Chrisman,Muni,Edgar,2014,33487.04
Chrisman,Muni,Edgar,2015,31658.93
Chrisman,Muni,Edgar,2016,34465.87
Chrisman,Muni,Edgar,2017,34439.48
Chrisman,Muni,Edgar,2018,34366.340000000004
Chrisman,Muni,Edgar,2019,33874.93
Chrisman,Muni,Edgar,2020,50749.71
Chrisman,Muni,Edgar,2021,50582.57
Christian,County,Christian,2005,679206.11
Christian,County,Christian,2006,666642.16
Christian,County,Christian,2007,698725.8400000001
Christian,County,Christian,2008,699759.62
Christian,County,Christian,2009,615461.43
Christian,County,Christian,2010,588442.2699999999
Christian,County,Christian,2011,558671.55
Christian,County,Christian,2012,555468.08
Christian,County,Christian,2013,554905.75
Christian,County,Christian,2014,596500.37
Christian,County,Christian,2015,552193.43
Christian,County,Christian,2016,592544.41
Christian,County,Christian,2017,551775.59
Christian,County,Christian,2018,537125.2899999999
Christian,County,Christian,2019,533405.92
Christian,County,Christian,2020,800652.24
Christian,County,Christian,2021,876939.12
Christopher,Muni,Franklin,2005,81879.64
Christopher,Muni,Franklin,2006,82051.72
Christopher,Muni,Franklin,2007,82019.07
Christopher,Muni,Franklin,2008,78696.31
Christopher,Muni,Franklin,2009,72776.53
Christopher,Muni,Franklin,2010,71224.42
Christopher,Muni,Franklin,2011,71178.47
Christopher,Muni,Franklin,2012,58985.71
Christopher,Muni,Franklin,2013,57445.82
Christopher,Muni,Franklin,2014,59393.98
Christopher,Muni,Franklin,2015,59894.91
Christopher,Muni,Franklin,2016,72242.26
Christopher,Muni,Franklin,2017,72187
Christopher,Muni,Franklin,2018,72033.68000000001
Christopher,Muni,Franklin,2019,71003.7
Christopher,Muni,Franklin,2020,106374.1
Christopher,Muni,Franklin,2021,106023.78
Christy,Twp,Lawrence,2005,80381.23
Christy,Twp,Lawrence,2006,81079.59
Christy,Twp,Lawrence,2007,82097.42
Christy,Twp,Lawrence,2008,80111.39
Christy,Twp,Lawrence,2009,74732.22
Christy,Twp,Lawrence,2010,73491.23999999999
Christy,Twp,Lawrence,2011,73501.89
Christy,Twp,Lawrence,2012,71332.48999999999
Christy,Twp,Lawrence,2013,69511.45
Christy,Twp,Lawrence,2014,71913.06
Christy,Twp,Lawrence,2015,68069.58
Christy,Twp,Lawrence,2016,74197.55
Christy,Twp,Lawrence,2017,73686.43999999999
Christy,Twp,Lawrence,2018,73275.5
Christy,Twp,Lawrence,2019,72356.40999999999
Christy,Twp,Lawrence,2020,108409.78
Christy,Twp,Lawrence,2021,108241.09
Cicero,Muni,Cook,2005,2474481.65
Cicero,Muni,Cook,2006,2479682.4299999997
Cicero,Muni,Cook,2007,2478695.3099999996
Cicero,Muni,Cook,2008,2378278.46
Cicero,Muni,Cook,2009,2199376.9099999997
Cicero,Muni,Cook,2010,2152471.04
Cicero,Muni,Cook,2011,2151081.8
Cicero,Muni,Cook,2012,2077401.51
Cicero,Muni,Cook,2013,2023168.6300000001
Cicero,Muni,Cook,2014,2091779.74
Cicero,Muni,Cook,2015,1977587.11
Cicero,Muni,Cook,2016,2152922.3499999996
Cicero,Muni,Cook,2017,2151274.98
Cicero,Muni,Cook,2018,2146705.68
Cicero,Muni,Cook,2019,2116011.2800000003
Cicero,Muni,Cook,2020,3170100.01
Cicero,Muni,Cook,2021,3159658.56
Cincinnati,Twp,Pike,2005,41679.159999999996
Cincinnati,Twp,Pike,2006,42041.259999999995
Cincinnati,Twp,Pike,2007,42457.89
Cincinnati,Twp,Pike,2008,41102.219999999994
Cincinnati,Twp,Pike,2009,38342.380000000005
Cincinnati,Twp,Pike,2010,37705.68
Cincinnati,Twp,Pike,2011,37753.659999999996
Cincinnati,Twp,Pike,2012,37148.47
Cincinnati,Twp,Pike,2013,36200.11
Cincinnati,Twp,Pike,2014,37450.83
Cincinnati,Twp,Pike,2015,35449.219999999994
Cincinnati,Twp,Pike,2016,38681.75
Cincinnati,Twp,Pike,2017,38598.77
Cincinnati,Twp,Pike,2018,38635.03
Cincinnati,Twp,Pike,2019,38139.53
Cincinnati,Twp,Pike,2020,57157.89
Cincinnati,Twp,Pike,2021,56945.42
Cincinnati,Twp,Tazewell,2005,68173.78
Cincinnati,Twp,Tazewell,2006,68666.95999999999
Cincinnati,Twp,Tazewell,2007,68562.28
Cincinnati,Twp,Tazewell,2008,66297.32
Cincinnati,Twp,Tazewell,2009,61837.880000000005
Cincinnati,Twp,Tazewell,2010,60811.03
Cincinnati,Twp,Tazewell,2011,60819.82
Cincinnati,Twp,Tazewell,2012,58675.15
Cincinnati,Twp,Tazewell,2013,55752.21
Cincinnati,Twp,Tazewell,2014,54295.48
Cincinnati,Twp,Tazewell,2015,50444.950000000004
Cincinnati,Twp,Tazewell,2016,55044.4
Cincinnati,Twp,Tazewell,2017,54842.32
Cincinnati,Twp,Tazewell,2018,54902.39
Cincinnati,Twp,Tazewell,2019,54213.94
Cincinnati,Twp,Tazewell,2020,81227.5
Cincinnati,Twp,Tazewell,2021,81486.11
Cisco,Muni,Piatt,2005,8266.01
Cisco,Muni,Piatt,2006,8283.369999999999
Cisco,Muni,Piatt,2007,8280.08
Cisco,Muni,Piatt,2008,7944.64
Cisco,Muni,Piatt,2009,7347.01
Cisco,Muni,Piatt,2010,7190.35
Cisco,Muni,Piatt,2011,7185.7
Cisco,Muni,Piatt,2012,6463.1500000000005
Cisco,Muni,Piatt,2013,6294.44
Cisco,Muni,Piatt,2014,6507.89
Cisco,Muni,Piatt,2015,6152.63
Cisco,Muni,Piatt,2016,6698.14
Cisco,Muni,Piatt,2017,6692.99
Cisco,Muni,Piatt,2018,6678.78
Cisco,Muni,Piatt,2019,6583.29
Cisco,Muni,Piatt,2020,9862.75
Cisco,Muni,Piatt,2021,9830.27
Cisne,Muni,Wayne,2005,19451.109999999997
Cisne,Muni,Wayne,2006,19491.99
Cisne,Muni,Wayne,2007,19484.21
Cisne,Muni,Wayne,2008,18694.89
Cisne,Muni,Wayne,2009,17288.6
Cisne,Muni,Wayne,2010,16919.9
Cisne,Muni,Wayne,2011,16908.960000000003
Cisne,Muni,Wayne,2012,16640.79
Cisne,Muni,Wayne,2013,16206.359999999999
Cisne,Muni,Wayne,2014,16755.97
Cisne,Muni,Wayne,2015,15841.240000000002
Cisne,Muni,Wayne,2016,17245.75
Cisne,Muni,Wayne,2017,17232.56
Cisne,Muni,Wayne,2018,17195.95
Cisne,Muni,Wayne,2019,16950.08
Cisne,Muni,Wayne,2020,25393.74
Cisne,Muni,Wayne,2021,25310.109999999997
Cissna Park,Muni,Iroquois,2005,23439.6
Cissna Park,Muni,Iroquois,2006,23488.87
Cissna Park,Muni,Iroquois,2007,23479.52
Cissna Park,Muni,Iroquois,2008,22528.32
Cissna Park,Muni,Iroquois,2009,20833.649999999998
Cissna Park,Muni,Iroquois,2010,20389.34
Cissna Park,Muni,Iroquois,2011,20376.2
Cissna Park,Muni,Iroquois,2012,20949.59
Cissna Park,Muni,Iroquois,2013,20402.67
Cissna Park,Muni,Iroquois,2014,21094.58
Cissna Park,Muni,Iroquois,2015,19943.01
Cissna Park,Muni,Iroquois,2016,21711.18
Cissna Park,Muni,Iroquois,2017,21694.56
Cissna Park,Muni,Iroquois,2018,21648.480000000003
Cissna Park,Muni,Iroquois,2019,21338.940000000002
Cissna Park,Muni,Iroquois,2020,31968.91
Cissna Park,Muni,Iroquois,2021,31863.62
Claremont,Twp,Richland,2005,113228.87000000001
Claremont,Twp,Richland,2006,114233.31
Claremont,Twp,Richland,2007,115576.65000000001
Claremont,Twp,Richland,2008,111886.27
Claremont,Twp,Richland,2009,104373.54
Claremont,Twp,Richland,2010,102640.34
Claremont,Twp,Richland,2011,102655.18000000001
Claremont,Twp,Richland,2012,100353.82
Claremont,Twp,Richland,2013,98544.70999999999
Claremont,Twp,Richland,2014,101949.48999999999
Claremont,Twp,Richland,2015,96539.72
Claremont,Twp,Richland,2016,105177.31
Claremont,Twp,Richland,2017,104879.5
Claremont,Twp,Richland,2018,105009.83
Claremont,Twp,Richland,2019,103692.67000000001
Claremont,Twp,Richland,2020,155071.9
Claremont,Twp,Richland,2021,154360.6
Claremont,Muni,Richland,2005,6127.25
Claremont,Muni,Richland,2006,6140.110000000001
Claremont,Muni,Richland,2007,6137.68
Claremont,Muni,Richland,2008,5889.01
Claremont,Muni,Richland,2009,5446.05
Claremont,Muni,Richland,2010,5329.88
Claremont,Muni,Richland,2011,5326.429999999999
Claremont,Muni,Richland,2012,4358.3
Claremont,Muni,Richland,2013,4244.53
Claremont,Muni,Richland,2014,4388.469999999999
Claremont,Muni,Richland,2015,4148.9
Claremont,Muni,Richland,2016,4516.75
Claremont,Muni,Richland,2017,4513.3
Claremont,Muni,Richland,2018,4503.7
Claremont,Muni,Richland,2019,4439.320000000001
Claremont,Muni,Richland,2020,6650.75
Claremont,Muni,Richland,2021,6628.84
Clarendon Hills,Muni,DuPage,2005,220820.34
Clarendon Hills,Muni,DuPage,2006,223860.81999999998
Clarendon Hills,Muni,DuPage,2007,227731.02
Clarendon Hills,Muni,DuPage,2008,218505.15
Clarendon Hills,Muni,DuPage,2009,202068.52
Clarendon Hills,Muni,DuPage,2010,197759
Clarendon Hills,Muni,DuPage,2011,197631.37
Clarendon Hills,Muni,DuPage,2012,208678.66
Clarendon Hills,Muni,DuPage,2013,203230.9
Clarendon Hills,Muni,DuPage,2014,210123
Clarendon Hills,Muni,DuPage,2015,198652.14
Clarendon Hills,Muni,DuPage,2016,216264.88999999998
Clarendon Hills,Muni,DuPage,2017,216099.38999999998
Clarendon Hills,Muni,DuPage,2018,215640.4
Clarendon Hills,Muni,DuPage,2019,212557.09
Clarendon Hills,Muni,DuPage,2020,318442.18
Clarendon Hills,Muni,DuPage,2021,317393.33999999997
Clarion,Twp,Bureau,2005,75936.98
Clarion,Twp,Bureau,2006,76596.77
Clarion,Twp,Bureau,2007,77355.81
Clarion,Twp,Bureau,2008,74882.34
Clarion,Twp,Bureau,2009,69844.43
Clarion,Twp,Bureau,2010,68684.64
Clarion,Twp,Bureau,2011,68694.58
Clarion,Twp,Bureau,2012,66669.20999999999
Clarion,Twp,Bureau,2013,64972.08
Clarion,Twp,Bureau,2014,67217.98999999999
Clarion,Twp,Bureau,2015,63625.48
Clarion,Twp,Bureau,2016,69427.28
Clarion,Twp,Bureau,2017,69278.37000000001
Clarion,Twp,Bureau,2018,69364.43999999999
Clarion,Twp,Bureau,2019,68494.40999999999
Clarion,Twp,Bureau,2020,102623.45999999999
Clarion,Twp,Bureau,2021,102242.01
Clark,County,Clark,2005,358247.27
Clark,County,Clark,2006,375572.72000000003
Clark,County,Clark,2007,397499.79000000004
Clark,County,Clark,2008,398407.44
Clark,County,Clark,2009,334728.82
Clark,County,Clark,2010,314155.97000000003
Clark,County,Clark,2011,284589.47000000003
Clark,County,Clark,2012,295363.05
Clark,County,Clark,2013,297986.99000000005
Clark,County,Clark,2014,309376.04
Clark,County,Clark,2015,289831.63999999996
Clark,County,Clark,2016,312899.29000000004
Clark,County,Clark,2017,298111.74
Clark,County,Clark,2018,292399.48000000004
Clark,County,Clark,2019,290762.28
Clark,County,Clark,2020,434965.96
Clark,County,Clark,2021,465052.41000000003
Clarksburg,Twp,Shelby,2005,65353.41
Clarksburg,Twp,Shelby,2006,65921.18000000001
Clarksburg,Twp,Shelby,2007,66489.92
Clarksburg,Twp,Shelby,2008,64308.259999999995
Clarksburg,Twp,Shelby,2009,59990.219999999994
Clarksburg,Twp,Shelby,2010,58994.04
Clarksburg,Twp,Shelby,2011,59002.6
Clarksburg,Twp,Shelby,2012,57051.67
Clarksburg,Twp,Shelby,2013,55421.49
Clarksburg,Twp,Shelby,2014,57336.33
Clarksburg,Twp,Shelby,2015,54271.93
Clarksburg,Twp,Shelby,2016,59220.840000000004
Clarksburg,Twp,Shelby,2017,59093.82
Clarksburg,Twp,Shelby,2018,59167.24
Clarksburg,Twp,Shelby,2019,58647.33
Clarksburg,Twp,Shelby,2020,87941.1
Clarksburg,Twp,Shelby,2021,87614.23999999999
Clay,County,Clay,2005,293165.24
Clay,County,Clay,2006,307890.81
Clay,County,Clay,2007,318785.3
Clay,County,Clay,2008,301846.12
Clay,County,Clay,2009,255927.21000000002
Clay,County,Clay,2010,252327.03
Clay,County,Clay,2011,241197.59
Clay,County,Clay,2012,240331.64
Clay,County,Clay,2013,236326.91
Clay,County,Clay,2014,245618.05
Clay,County,Clay,2015,232931.38999999998
Clay,County,Clay,2016,261246.07
Clay,County,Clay,2017,243624.81
Clay,County,Clay,2018,234734.27000000002
Clay,County,Clay,2019,233523.37
Clay,County,Clay,2020,354008.32
Clay,County,Clay,2021,379091.61
Clay City,Twp,Clay,2005,54698.56
Clay City,Twp,Clay,2006,55173.77
Clay City,Twp,Clay,2007,55720.57
Clay City,Twp,Clay,2008,53941.41
Clay City,Twp,Clay,2009,50319.43
Clay City,Twp,Clay,2010,49483.880000000005
Clay City,Twp,Clay,2011,49491.01
Clay City,Twp,Clay,2012,48030.32
Clay City,Twp,Clay,2013,46804.17
Clay City,Twp,Clay,2014,48421.28
Clay City,Twp,Clay,2015,45833.340000000004
Clay City,Twp,Clay,2016,50012.759999999995
Clay City,Twp,Clay,2017,49891.98
Clay City,Twp,Clay,2018,49785.33
Clay City,Twp,Clay,2019,49160.850000000006
Clay City,Twp,Clay,2020,73656.43999999999
Clay City,Twp,Clay,2021,73382.68000000001
Clay City,Muni,Clay,2005,28902.1
Clay City,Muni,Clay,2006,28962.84
Clay City,Muni,Clay,2007,28951.32
Clay City,Muni,Clay,2008,27778.45
Clay City,Muni,Clay,2009,25688.87
Clay City,Muni,Clay,2010,25140.980000000003
Clay City,Muni,Clay,2011,25124.77
Clay City,Muni,Clay,2012,23747.8
Clay City,Muni,Clay,2013,23127.86
Clay City,Muni,Clay,2014,23912.19
Clay City,Muni,Clay,2015,22606.79
Clay City,Muni,Clay,2016,24611.12
Clay City,Muni,Clay,2017,24592.29
Clay City,Muni,Clay,2018,24540.06
Clay City,Muni,Clay,2019,24189.2
Clay City,Muni,Clay,2020,36239.01
Clay City,Muni,Clay,2021,36119.64
Clayton,Twp,Adams,2005,86839.06
Clayton,Twp,Adams,2006,87514.23999999999
Clayton,Twp,Adams,2007,88383.85
Clayton,Twp,Adams,2008,85561.73
Clayton,Twp,Adams,2009,79598.88
Clayton,Twp,Adams,2010,78091.73
Clayton,Twp,Adams,2011,78103.02
Clayton,Twp,Adams,2012,75793.11
Clayton,Twp,Adams,2013,73858.23
Clayton,Twp,Adams,2014,76410.1
Clayton,Twp,Adams,2015,72325.90999999999
Clayton,Twp,Adams,2016,78967.45
Clayton,Twp,Adams,2017,78796.16
Clayton,Twp,Adams,2018,79028.08
Clayton,Twp,Adams,2019,78197.55
Clayton,Twp,Adams,2020,117119.48
Clayton,Twp,Adams,2021,116684.3
Clayton,Twp,Woodford,2005,68330.45
Clayton,Twp,Woodford,2006,69720.87000000001
Clayton,Twp,Woodford,2007,70492.32
Clayton,Twp,Woodford,2008,68241.48
Clayton,Twp,Woodford,2009,63659.340000000004
Clayton,Twp,Woodford,2010,62602.259999999995
Clayton,Twp,Woodford,2011,62611.28
Clayton,Twp,Woodford,2012,60771.24
Clayton,Twp,Woodford,2013,59219.82
Clayton,Twp,Woodford,2014,61265.87
Clayton,Twp,Woodford,2015,57991.43
Clayton,Twp,Woodford,2016,63279.55
Clayton,Twp,Woodford,2017,63143.810000000005
Clayton,Twp,Woodford,2018,63222.259999999995
Clayton,Twp,Woodford,2019,62429.24
Clayton,Twp,Woodford,2020,93536.14
Clayton,Twp,Woodford,2021,93188.34
Clayton,Muni,Adams,2005,26127.45
Clayton,Muni,Adams,2006,26182.420000000002
Clayton,Muni,Adams,2007,26171.99
Clayton,Muni,Adams,2008,25111.69
Clayton,Muni,Adams,2009,23222.71
Clayton,Muni,Adams,2010,22727.47
Clayton,Muni,Adams,2011,22712.79
Clayton,Muni,Adams,2012,17557.05
Clayton,Muni,Adams,2013,17098.69
Clayton,Muni,Adams,2014,17678.55
Clayton,Muni,Adams,2015,16713.47
Clayton,Muni,Adams,2016,18195.3
Clayton,Muni,Adams,2017,18181.37
Clayton,Muni,Adams,2018,18142.77
Clayton,Muni,Adams,2019,17883.35
Clayton,Muni,Adams,2020,26791.93
Clayton,Muni,Adams,2021,26703.649999999998
Clear Lake,Twp,Sangamon,2005,82178.77
Clear Lake,Twp,Sangamon,2006,82878.02
Clear Lake,Twp,Sangamon,2007,84543.86
Clear Lake,Twp,Sangamon,2008,81352.86
Clear Lake,Twp,Sangamon,2009,77564.97
Clear Lake,Twp,Sangamon,2010,76547.43999999999
Clear Lake,Twp,Sangamon,2011,76556.4
Clear Lake,Twp,Sangamon,2012,74298.22
Clear Lake,Twp,Sangamon,2013,72395.38
Clear Lake,Twp,Sangamon,2014,75112.89
Clear Lake,Twp,Sangamon,2015,71357.48
Clear Lake,Twp,Sangamon,2016,77864.20999999999
Clear Lake,Twp,Sangamon,2017,77697.35
Clear Lake,Twp,Sangamon,2018,77786.51
Clear Lake,Twp,Sangamon,2019,75432.79
Clear Lake,Twp,Sangamon,2020,111545.70999999999
Clear Lake,Twp,Sangamon,2021,111130.87000000001
Clear Lake,Muni,Sangamon,2005,7716.860000000001
Clear Lake,Muni,Sangamon,2006,7733.09
Clear Lake,Muni,Sangamon,2007,7730
Clear Lake,Muni,Sangamon,2008,7416.84
Clear Lake,Muni,Sangamon,2009,6858.929999999999
Clear Lake,Muni,Sangamon,2010,6712.63
Clear Lake,Muni,Sangamon,2011,6708.33
Clear Lake,Muni,Sangamon,2012,5670.7699999999995
Clear Lake,Muni,Sangamon,2013,5522.7
Clear Lake,Muni,Sangamon,2014,5710
Clear Lake,Muni,Sangamon,2015,5398.3
Clear Lake,Muni,Sangamon,2016,5876.91
Clear Lake,Muni,Sangamon,2017,5872.4
Clear Lake,Muni,Sangamon,2018,5859.94
Clear Lake,Muni,Sangamon,2019,5776.1500000000005
Clear Lake,Muni,Sangamon,2020,8653.52
Clear Lake,Muni,Sangamon,2021,8625.03
